algorithm_type,bibtex_id,author_1,author_2,author_3,author_4,author_5,author6,author_7,author_8,affiliation_last_author,city_last_author,country_last_author,title,journal,year,link_to_open_source_publication,link_to_pubmed,publication_type,link_to_open_source_code_in_publication,link_to_open_source_code_in_google.com,dataset,n_of_subjects_validation,dice_average,VOE,overlap_location,bibtex_id,source
active contours,Solloway_1997,﻿Solloway S, Hutchinson CE, Waterton JC, Taylor CJ,,,,,"Department of Medical Biophysics, University of Manchester
",Manchester,UK,﻿The use of active shape models for making thickness measure- ments of articular cartilage from MR images,﻿Magn Reson Med 37(6):943–952,1997,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.51.8018&rep=rep1&type=pdf,https://www.ncbi.nlm.nih.gov/pubmed/9178247,journal paper,NaN,NaN,private,32,NaN,NaN,global,Solloway_1997,"Pedoia 2016 [31], Zhang 2018 [21]"
active contours,Vincent_2011,﻿Vincent G, Wolstenholme C, Scott I, Bowes M,,,,,Imorphics Ltd.,Manchester,UK,﻿Fully Automatic Segmentation of the Knee Joint using Active Appearance Models,﻿MICCAI 2010 Workshop Medical Image Analysis for the Clinic—A Grand Challenge (SKI0),2011,http://www.ski10.org/data/2011-01-27-1131.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4478858/,conference paper,NaN,NaN,OAI,40,NaN,36.3,local,Vincent_2011,"Pedoia 2016 [34], Zhang 2018 [32]"
active contours,Williams_2010,﻿Williams TG, Holmes AP, Waterton JC, Maciewicz RA, Hutchinson CE, Moots  RJ,Nash AFP, Taylor CJ,"Imaging Science and Biomedical Engineering, School of
Cancer and Enabling Sciences, The University of Manchester",Manchester,UK,﻿Anatomically corresponded regional analysis of cartilage in asymptomatic and osteoarthritic knees by statistical shape modelling of the bone,"﻿IEEE transactions on medical imaging, vol. 29, pp. 1541-1559",2010,NaN,https://www.ncbi.nlm.nih.gov/pubmed/20378463,journal paper,NaN,NaN,private,50,NaN,NaN,local,Williams_2010,"Pedoia 2016 [36], Zhang 2018 [70]"
active contours,Amberg_2010,Amberg,Luthi M,Vetter T,,,,,,"Computer Science Department, University of Basel",Basel,Switzerland,Fully Automated Segmentation of the Knee using Local Deformation-Model Fitting,NaN,2010,http://www.diagnijmegen.nl/~bram/grandchallenge2010/251.pdf,NaN,report,NaN,NaN,SKI10,40,NaN,53.3,local,Amberg_2010,ski10
active contours,CarballidoGamio_2008,Carballido-Gamio J, Bauer J, Stahl R, Lee KY, Krause S, Link T, Majumdar S,,"Department of Radiology and
Biomedical Imaging, UC San Francisco",San Francisco,USA,Inter-subject comparison of MRI knee cartilage thickness,﻿Medical Image Analysis,2008,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2838773/,https://www.ncbi.nlm.nih.gov/pubmed/17923429,journal paper,NaN,NaN,private,5,NaN,NaN,global,CarballidoGamio_2008,Zhang 2028 [45]
atlas-based,TamezPena_2012,﻿Tamez-Pena J, Gonzalez J, Farber J,Gonzales PC, Schreyer E, Schreyer E, Totterman S,,"Qmetrics Technology, LLC",Rochester,USA,"Unsupervised Segmentation and Quantification
of Anatomical Knee Features: Data From the
Osteoarthritis Initiative",IEEE Transactions on biomedical engineering,2012,https://s3.amazonaws.com/academia.edu.documents/49041429/tbme.2012.218661220160922-8459-1x6coiv.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1543835801&Signature=N5DfC0MWAMD0rzORjOtMD3lN1%2FY%3D&response-content-disposition=inline%3B%20filename%3DUnsupervised_Segmentation_and_Quantifica.pdf,https://www.ncbi.nlm.nih.gov/pubmed/22318477,journal paper,NaN,NaN,OAI,12,0.88,NaN,local,TamezPena_2012,Shan[26]
atlas-based,Shan_2014,﻿Shan L, Zach C, Charles C, Niethammer M,,,,,"Department of Computer Science, University of North Carolina",Chapel Hill,USA,﻿Automatic atlas-based three-label cartilage segmentation from MR knee images,﻿Med Image Anal 18(7):1233–1246,2014,http://wwwx.cs.unc.edu/~mn/sites/default/files/shan2014_media_cartilage_segmentation_0.pdf,https://www.ncbi.nlm.nih.gov/pubmed/25128683,journal paper,NaN,https://bitbucket.org/marcniethammer/ksrt/wiki/Home,PLS and  SKI10,155,0.856,0.24,local,Shan_2014,"Pedoia 2016 [39], Zhang 2018 [34]"
atlas-based,Pedoia_2015,﻿Pedoia V, Li X, Su F, Calixto N, Majumdar S,,,,"Department of Radiology and
Biomedical Imaging, UC San Francisco",San Francisco,USA,﻿Fully automatic analysis of the knee articular cartilage T1ρ relaxation time using voxel-based relaxometry,J Magn Reson Imaging Apr;43(4):970-80.,2015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018211/pdf/nihms725487.pdf,https://www.ncbi.nlm.nih.gov/pubmed/26443990,journal paper,NaN,NaN,private,110,NaN,NaN,local,Pedoia_2015,"Pedoia 2016 [19], Zhang 2018 [96]"
graph-based,Ozturk_2016,Öztürk ﻿CN, Albayrak S,,,,,,,"Yıldız Technical University, Computer Engineering Department",Istanbul,Turkey,﻿Automatic segmentation of cartilage in high-field magnetic resonance images of the knee joint with an improved voxel-classification-driven region-growing algorithm using vicinity-correlated subsampling,"﻿Computers in biology and medicine, vol. 72, pp. 90-107",2016,NaN,NaN,journal paper,NaN,NaN,OAI,23,0.79,NaN,global,Ozturk_2016,Zhang 2018 [37]
graph-based,WangP_2016,Wang P,  He X, Li Y, Zhu X, Chen W, Qiu M,,,"Department of Medical Imaging, College of Biomedical Engineering, Third Military Medical University",Chongqing,China,﻿Automatic Knee Cartilage Segmentation Using Multi-Feature Support Vector Machine and Elastic Region Growing for Magnetic Resonance Images,"﻿Journal of Medical Imaging and Health Informatics, vol. 6, pp. 948-956",2016,https://www.researchgate.net/profile/Yongming_Li12/publication/308132771_Automatic_Knee_Cartilage_Segmentation_Using_Multi-Feature_Support_Vector_Machine_and_Elastic_Region_Growing_for_Magnetic_Resonance_Images/links/593812ac0f7e9b32b7e09151/Automatic-Knee-Cartilage-Segmentation-Using-Multi-Feature-Support-Vector-Machine-and-Elastic-Region-Growing-for-Magnetic-Resonance-Images.pdf,NaN,journal paper,NaN,NaN,private,11,0.851,NaN,global,WangP_2016,Zhang 2018 [53]
