subjects,average,std.dev
YR04_19_T2_0_orig_map_exp_aligned.mha,62.74,80.37
YR04_19_T2_0_orig_map_exp_aligned.mha,83.23,133.25
YR04_19_T2_0_orig_map_exp_aligned.mha,67.21,80.59
YR04_19_T2_0_orig_map_exp_aligned.mha,69.53,76.7
YR04_19_T2_0_orig_map_exp_aligned.mha,57.8,30.95
YR04_19_T2_0_orig_map_exp_aligned.mha,156.31,320.29
YR04_19_T2_0_orig_map_exp_aligned.mha,71.51,127.58
YR04_19_T2_0_orig_map_exp_aligned.mha,65.33,81.17
YR04_19_T2_0_orig_map_exp_aligned.mha,61.44,58.41
YR04_19_T2_0_orig_map_exp_aligned.mha,70.84,101.35
YR04_19_T2_0_orig_map_exp_aligned.mha,63.84,49.28
YR04_19_T2_0_orig_map_exp_aligned.mha,66.87,83.38
YR04_19_T2_0_orig_map_exp_aligned.mha,70.3,116.24
YR04_19_T2_0_orig_map_exp_aligned.mha,56.07,36.77
YR04_19_T2_0_orig_map_exp_aligned.mha,61.72,52.62
YR04_19_T2_0_orig_map_exp_aligned.mha,56.73,38.57
YR04_19_T2_0_orig_map_exp_aligned.mha,70.42,101.65
YR04_19_T2_0_orig_map_exp_aligned.mha,64.34,59.7
YR04_19_T2_0_orig_map_exp_aligned.mha,69.04,58.75
