Subjects,DiceCoeff,JaccardCoeff,VolumeSimilarity
YR04_01_DESS_prep_fc,0.88,0.78,-0.05
YR04_02_DESS_prep_fc,0.85,0.73,-0.08
YR04_03_DESS_prep_fc,0.87,0.76,-0.06
YR04_04_DESS_prep_fc,0.88,0.79,-0.06
YR04_05_DESS_prep_fc,0.89,0.8,-0.1
YR04_06_DESS_prep_fc,0.05,0.03,-0.58
YR04_07_DESS_prep_fc,0.87,0.77,-0.1
YR04_08_DESS_prep_fc,0.87,0.78,-0.08
YR04_09_DESS_prep_fc,1.0,1.0,0.0
YR04_10_DESS_prep_fc,0.84,0.72,-0.13
YR04_11_DESS_prep_fc,0.81,0.68,-0.09
YR04_12_DESS_prep_fc,0.86,0.75,-0.12
YR04_13_DESS_prep_fc,0.86,0.76,-0.07
YR04_14_DESS_prep_fc,0.89,0.79,-0.07
YR04_15_DESS_prep_fc,0.87,0.77,-0.03
YR04_16_DESS_prep_fc,0.88,0.78,-0.08
YR04_17_DESS_prep_fc,0.86,0.75,-0.08
YR04_18_DESS_prep_fc,0.88,0.79,-0.08
YR04_19_DESS_prep_fc,0.83,0.72,-0.06
