subjects,dice_coeff,jaccard_coeff,volume_similarity
YR04_01_T2_0_prep_fc,0.81,0.68,0.08
YR04_02_T2_0_prep_fc,0.71,0.55,0.04
YR04_03_T2_0_prep_fc,0.75,0.6,0.2
YR04_04_T2_0_prep_fc,0.76,0.62,0.11
YR04_05_T2_0_prep_fc,0.77,0.63,0.23
YR04_06_T2_0_prep_fc,0.05,0.03,-0.53
YR04_07_T2_0_prep_fc,0.7,0.54,-0.0
YR04_08_T2_0_prep_fc,0.78,0.65,0.13
YR04_09_T2_0_prep_fc,0.78,0.65,0.21
YR04_10_T2_0_prep_fc,0.73,0.58,0.07
YR04_11_T2_0_prep_fc,0.68,0.51,-0.07
YR04_12_T2_0_prep_fc,0.78,0.64,0.16
YR04_13_T2_0_prep_fc,0.77,0.63,0.07
YR04_14_T2_0_prep_fc,0.81,0.68,0.07
YR04_15_T2_0_prep_fc,0.76,0.62,0.15
YR04_16_T2_0_prep_fc,0.81,0.67,0.04
YR04_17_T2_0_prep_fc,0.79,0.65,0.09
YR04_18_T2_0_prep_fc,0.76,0.61,0.23
YR04_19_T2_0_prep_fc,0.71,0.55,0.28
