Subjects,DiceCoeff,JaccardCoeff,VolumeSimilarity
001_BL_prep_fc,0.71,0.55,-0.04
002_BL_prep_fc,0.77,0.62,-0.05
003_BL_prep_fc,0.75,0.6,-0.27
004_BL_prep_fc,0.75,0.6,-0.18
005_BL_prep_fc,0.78,0.63,-0.15
006_BL_prep_fc,0.01,0.01,-0.57
007_BL_prep_fc,0.73,0.57,-0.06
008_BL_prep_fc,0.68,0.52,0.01
009_BL_prep_fc,0.7,0.54,0.05
010_BL_prep_fc,0.72,0.56,0.04
011_BL_prep_fc,0.77,0.63,-0.11
012_BL_prep_fc,0.73,0.58,-0.01
013_BL_prep_fc,0.79,0.65,-0.06
014_BL_prep_fc,0.77,0.63,-0.1
015_BL_prep_fc,0.82,0.69,-0.06
016_BL_prep_fc,0.82,0.7,-0.1
017_BL_prep_fc,0.71,0.55,-0.04
018_BL_prep_fc,0.76,0.61,-0.15
019_BL_prep_fc,0.7,0.54,0.0
020_BL_prep_fc,0.73,0.58,-0.1
021_BL_prep_fc,0.71,0.55,-0.34
022_BL_prep_fc,0.65,0.48,-0.19
023_BL_prep_fc,0.77,0.62,-0.13
024_BL_prep_fc,0.34,0.2,-0.48
025_BL_prep_fc,0.69,0.52,-0.06
026_BL_prep_fc,0.69,0.52,0.23
027_BL_prep_fc,0.76,0.61,-0.24
028_BL_prep_fc,0.69,0.52,0.14
029_BL_prep_fc,0.74,0.58,-0.13
030_BL_prep_fc,0.7,0.54,-0.02
031_BL_prep_fc,0.57,0.4,-0.39
032_BL_prep_fc,0.74,0.59,-0.1
033_BL_prep_fc,0.64,0.47,-0.17
034_BL_prep_fc,0.67,0.5,-0.27
035_BL_prep_fc,0.67,0.5,-0.31
036_BL_prep_fc,0.73,0.57,-0.07
037_BL_prep_fc,0.79,0.65,-0.12
038_BL_prep_fc,0.75,0.59,-0.17
039_BL_prep_fc,0.73,0.57,-0.21
040_BL_prep_fc,0.74,0.59,0.02
041_BL_prep_fc,0.71,0.56,0.0
042_BL_prep_fc,0.74,0.58,-0.06
043_BL_prep_fc,0.73,0.57,-0.1
044_BL_prep_fc,0.77,0.63,-0.19
045_BL_prep_fc,0.75,0.6,-0.05
046_BL_prep_fc,0.75,0.6,-0.02
047_BL_prep_fc,0.75,0.6,0.05
048_BL_prep_fc,0.76,0.61,-0.02
049_BL_prep_fc,0.73,0.58,-0.14
050_BL_prep_fc,0.72,0.57,-0.08
051_BL_prep_fc,0.67,0.5,-0.02
052_BL_prep_fc,0.8,0.67,-0.04
053_BL_prep_fc,0.63,0.46,0.2
054_BL_prep_fc,0.78,0.64,-0.11
055_BL_prep_fc,0.78,0.63,-0.07
056_BL_prep_fc,0.75,0.61,0.01
057_BL_prep_fc,0.77,0.63,-0.08
058_BL_prep_fc,0.72,0.57,-0.09
059_BL_prep_fc,0.79,0.65,0.03
060_BL_prep_fc,0.65,0.49,0.01
061_BL_prep_fc,0.68,0.52,0.02
062_BL_prep_fc,0.77,0.63,-0.03
063_BL_prep_fc,0.67,0.51,0.04
064_BL_prep_fc,0.71,0.55,-0.08
065_BL_prep_fc,0.78,0.64,-0.0
066_BL_prep_fc,0.76,0.61,0.02
067_BL_prep_fc,0.73,0.58,-0.09
068_BL_prep_fc,0.68,0.52,-0.08
069_BL_prep_fc,0.74,0.59,-0.09
070_BL_prep_fc,0.7,0.54,-0.23
071_BL_prep_fc,0.73,0.58,-0.12
072_BL_prep_fc,0.7,0.54,-0.05
073_BL_prep_fc,0.76,0.61,0.03
074_BL_prep_fc,0.73,0.57,-0.01
075_BL_prep_fc,0.79,0.65,-0.15
076_BL_prep_fc,0.71,0.55,0.21
077_BL_prep_fc,0.66,0.49,-0.13
078_BL_prep_fc,0.75,0.6,-0.02
079_BL_prep_fc,0.78,0.65,-0.12
080_BL_prep_fc,0.62,0.45,-0.12
081_BL_prep_fc,0.7,0.54,-0.17
082_BL_prep_fc,0.7,0.54,0.03
083_BL_prep_fc,0.69,0.53,0.11
084_BL_prep_fc,0.7,0.54,-0.07
085_BL_prep_fc,0.77,0.62,-0.1
086_BL_prep_fc,0.7,0.53,-0.05
087_BL_prep_fc,0.74,0.59,0.03
088_BL_prep_fc,0.74,0.59,-0.15
