subjects,dice_coeff,jaccard_coeff,volume_similarity
001_FU_prep_fc,0.7,0.53,-0.08
002_FU_prep_fc,0.76,0.61,-0.08
003_FU_prep_fc,0.75,0.6,-0.26
004_FU_prep_fc,0.74,0.58,-0.15
005_FU_prep_fc,0.78,0.63,-0.18
006_FU_prep_fc,0.01,0.01,-0.56
007_FU_prep_fc,0.72,0.56,-0.07
008_FU_prep_fc,0.7,0.54,0.03
009_FU_prep_fc,0.71,0.56,0.09
010_FU_prep_fc,0.7,0.54,0.01
011_FU_prep_fc,0.75,0.6,-0.11
012_FU_prep_fc,0.72,0.56,-0.0
013_FU_prep_fc,0.78,0.64,-0.02
014_FU_prep_fc,0.77,0.63,-0.11
015_FU_prep_fc,0.82,0.7,-0.1
016_FU_prep_fc,0.83,0.7,-0.11
017_FU_prep_fc,0.7,0.54,-0.04
018_FU_prep_fc,0.75,0.61,-0.21
019_FU_prep_fc,0.7,0.54,-0.02
020_FU_prep_fc,0.74,0.59,-0.13
021_FU_prep_fc,0.72,0.56,-0.33
022_FU_prep_fc,0.65,0.48,-0.17
023_FU_prep_fc,0.75,0.6,-0.11
024_FU_prep_fc,0.34,0.2,-0.44
025_FU_prep_fc,0.69,0.52,-0.04
026_FU_prep_fc,0.69,0.53,0.21
027_FU_prep_fc,0.76,0.61,-0.21
028_FU_prep_fc,0.7,0.54,-0.01
029_FU_prep_fc,0.73,0.58,-0.14
030_FU_prep_fc,0.7,0.54,-0.07
031_FU_prep_fc,0.56,0.39,-0.4
032_FU_prep_fc,0.75,0.61,-0.13
033_FU_prep_fc,0.64,0.48,-0.17
034_FU_prep_fc,0.67,0.5,-0.28
035_FU_prep_fc,0.68,0.52,-0.28
036_FU_prep_fc,0.72,0.57,-0.15
037_FU_prep_fc,0.79,0.65,-0.14
038_FU_prep_fc,0.72,0.57,0.01
039_FU_prep_fc,0.73,0.58,-0.24
040_FU_prep_fc,0.74,0.59,-0.05
041_FU_prep_fc,0.71,0.54,-0.06
042_FU_prep_fc,0.72,0.57,-0.08
043_FU_prep_fc,0.73,0.57,-0.13
044_FU_prep_fc,0.76,0.61,-0.21
045_FU_prep_fc,0.75,0.6,-0.05
046_FU_prep_fc,0.75,0.6,-0.06
047_FU_prep_fc,0.74,0.59,0.05
048_FU_prep_fc,0.77,0.63,-0.06
049_FU_prep_fc,0.74,0.58,-0.13
050_FU_prep_fc,0.71,0.56,-0.07
051_FU_prep_fc,0.63,0.46,0.0
052_FU_prep_fc,0.77,0.63,0.06
053_FU_prep_fc,0.63,0.46,0.13
054_FU_prep_fc,0.79,0.65,-0.14
055_FU_prep_fc,0.78,0.64,-0.12
056_FU_prep_fc,0.74,0.58,0.03
057_FU_prep_fc,0.41,0.26,-0.27
058_FU_prep_fc,0.7,0.54,-0.11
059_FU_prep_fc,0.76,0.61,-0.0
060_FU_prep_fc,0.65,0.48,-0.07
061_FU_prep_fc,0.68,0.52,0.07
062_FU_prep_fc,0.74,0.59,0.01
063_FU_prep_fc,0.69,0.52,-0.01
064_FU_prep_fc,0.69,0.53,-0.12
065_FU_prep_fc,0.79,0.65,-0.04
066_FU_prep_fc,0.73,0.58,-0.04
067_FU_prep_fc,0.72,0.56,-0.16
068_FU_prep_fc,0.67,0.51,-0.21
069_FU_prep_fc,0.75,0.6,-0.1
070_FU_prep_fc,0.71,0.55,-0.24
071_FU_prep_fc,0.72,0.56,-0.11
072_FU_prep_fc,0.7,0.54,-0.09
073_FU_prep_fc,0.75,0.6,-0.11
074_FU_prep_fc,0.73,0.57,-0.04
075_FU_prep_fc,0.79,0.66,-0.1
076_FU_prep_fc,0.66,0.49,0.3
077_FU_prep_fc,0.64,0.47,-0.1
078_FU_prep_fc,0.73,0.58,0.02
079_FU_prep_fc,0.8,0.66,-0.09
080_FU_prep_fc,0.64,0.47,-0.25
081_FU_prep_fc,0.71,0.55,-0.2
082_FU_prep_fc,0.7,0.54,-0.02
083_FU_prep_fc,0.68,0.52,0.12
084_FU_prep_fc,0.59,0.42,-0.24
085_FU_prep_fc,0.78,0.64,-0.05
086_FU_prep_fc,0.7,0.54,-0.04
087_FU_prep_fc,0.73,0.57,0.03
088_FU_prep_fc,0.75,0.6,-0.13
